,interacted_at;DATA;;;;;;VENDAS TOTAIS;Compras e offers;REWARDS
62417;07/01/2019;16:19:00;1;;;;;;
933;07/01/2019;16:35:00;1;;;;;;
62169;07/01/2019;16:43:00;1;;;;;;
1719;07/01/2019;16:45:00;1;;;;;;
62425;07/01/2019;16:48:00;1;;;;;;
1090;07/01/2019;16:54:00;1;;;;;;
1486;07/01/2019;16:56:00;1;;;;;;
62428;07/01/2019;16:56:00;1;;;;;;
62430;07/01/2019;17:00:00;1;;;;;;
1488;07/01/2019;17:01:00;1;;;;;;
1727;07/01/2019;17:02:00;1;;;;;;
62434;07/01/2019;17:14:00;1;;;;;;
62436;07/01/2019;17:20:00;1;;;;;;
62437;07/01/2019;17:20:00;1;;;;;;
1091;07/01/2019;17:25:00;1;;;;;;
1732;07/01/2019;17:29:00;1;;;;;;
62373;07/01/2019;17:44:00;1;;;;;;
62444;07/01/2019;17:49:00;1;;;;;;
1223;07/01/2019;17:53:00;1;;;;;;
956;07/01/2019;17:57:00;1;;;;;;
1724;07/01/2019;17:57:00;1;;;;;;
1737;07/01/2019;18:10:00;1;;;;;;
1739;07/01/2019;18:17:00;1;;;;;;
1148;07/01/2019;18:17:00;1;;;;;;
62448;07/01/2019;18:32:00;1;;;;;;
62449;07/01/2019;18:36:00;1;;;;;;
886;07/01/2019;18:44:00;1;;;;;;
62451;07/01/2019;18:49:00;1;;;;;;
62452;07/01/2019;18:51:00;1;;;;;;
1747;07/01/2019;19:30:00;1;;;;;;
62456;07/01/2019;19:32:00;1;;;;;;
888;07/01/2019;19:39:00;1;;;;;;
1155;07/01/2019;20:11:00;1;;;;;;
1157;07/01/2019;20:16:00;1;;;;;;
1361;07/01/2019;21:34:00;1;;;;;;
62178;07/01/2019;21:39:00;1;;;;;;
62472;07/01/2019;21:42:00;1;;;;;;
62478;07/01/2019;22:10:00;1;;;;;;
62482;07/01/2019;22:20:00;1;;;;;;
62249;07/01/2019;22:20:00;1;;;;;;
62483;07/01/2019;22:22:00;1;;;;;;
1751;07/01/2019;22:30:00;1;;;;;;
1510;07/01/2019;22:38:00;1;;;;;;
1515;07/01/2019;22:49:00;1;;;;;;
62486;07/01/2019;22:49:00;1;;;;;;
1169;07/01/2019;22:52:00;1;;;;;;
62488;07/01/2019;22:54:00;1;;;;;;
1170;07/01/2019;22:57:00;1;;;;;;
892;07/01/2019;23:01:00;1;;;;;;
1517;07/01/2019;23:02:00;1;;;;;;
62490;07/01/2019;23:04:00;1;;;;;;
62491;07/01/2019;23:06:00;1;;;;;;
62495;07/01/2019;23:15:00;1;;;;;;
1174;07/01/2019;23:20:00;1;;;;;;
62073;07/01/2019;23:28:00;1;;;;;;
62235;07/01/2019;23:46:00;1;;;;;;
62253;07/01/2019;23:53:00;1;;;;;;
1373;07/01/2019;23:58:00;1;;;;;;
100821;08/01/2019;00:12:00;1;;;;;;
100794;08/01/2019;00:13:00;1;;;;;;
100825;08/01/2019;00:18:00;1;;;;;;
100827;08/01/2019;00:31:00;1;;;;;;
100828;08/01/2019;00:32:00;1;;;;;;
100972;08/01/2019;00:32:00;1;;;;;;
100632;08/01/2019;01:26:00;1;;;;;;
100834;08/01/2019;14:14:00;1;;;;;;
101152;08/01/2019;14:17:00;1;;;;;;
101153;08/01/2019;14:23:00;1;;;;;;
101161;08/01/2019;14:59:00;1;;;;;;
100841;08/01/2019;15:01:00;1;;;;;;
101163;08/01/2019;15:06:00;1;;;;;;
100842;08/01/2019;15:08:00;1;;;;;;
100564;08/01/2019;15:15:00;1;;;;;;
100980;08/01/2019;15:15:00;1;;;;;;
101171;08/01/2019;15:23:00;1;;;;;;
101170;08/01/2019;15:23:00;1;;;;;;
100797;08/01/2019;15:24:00;1;;;;;;
100848;08/01/2019;15:28:00;1;;;;;;
101172;08/01/2019;15:28:00;1;;;;;;
100798;08/01/2019;15:28:00;1;;;;;;
101174;08/01/2019;15:30:00;1;;;;;;
100751;08/01/2019;15:30:00;1;;;;;;
100764;08/01/2019;15:33:00;1;;;;;;
100419;08/01/2019;15:34:00;1;;;;;;
100765;08/01/2019;15:34:00;1;;;;;;
100851;08/01/2019;15:38:00;1;;;;;;
100984;08/01/2019;15:39:00;1;;;;;;
100768;08/01/2019;15:41:00;1;;;;;;
100985;08/01/2019;15:41:00;1;;;;;;
100572;08/01/2019;15:42:00;1;;;;;;
100986;08/01/2019;15:43:00;1;;;;;;
100499;08/01/2019;15:44:00;1;;;;;;
101183;08/01/2019;15:44:00;1;;;;;;
100770;08/01/2019;15:45:00;1;;;;;;
100987;08/01/2019;15:46:00;1;;;;;;
101035;08/01/2019;15:47:00;1;;;;;;
100427;08/01/2019;15:49:00;1;;;;;;
100650;08/01/2019;15:53:00;1;;;;;;
100504;08/01/2019;15:54:00;1;;;;;;
100651;08/01/2019;15:54:00;1;;;;;;
101187;08/01/2019;15:54:00;1;;;;;;
100431;08/01/2019;15:55:00;1;;;;;;
101189;08/01/2019;15:57:00;1;;;;;;
100992;08/01/2019;15:59:00;1;;;;;;
101190;08/01/2019;15:59:00;1;;;;;;
100432;08/01/2019;16:00:00;1;;;;;;
100584;08/01/2019;16:00:00;1;;;;;;
100772;08/01/2019;16:03:00;1;;;;;;
100802;08/01/2019;16:04:00;1;;;;;;
101193;08/01/2019;16:11:00;1;;;;;;
101194;08/01/2019;16:14:00;1;;;;;;
100998;08/01/2019;16:15:00;1;;;;;;
100775;08/01/2019;16:17:00;1;;;;;;
100776;08/01/2019;16:21:00;1;;;;;;
100752;08/01/2019;16:23:00;1;;;;;;
100435;08/01/2019;16:26:00;1;;;;;;
101198;08/01/2019;16:27:00;1;;;;;;
101099;08/01/2019;16:28:00;1;;;;;;
101199;08/01/2019;16:29:00;1;;;;;;
100750;08/01/2019;16:37:00;1;;;;;;
101203;08/01/2019;16:37:00;1;;;;;;
101205;08/01/2019;16:39:00;1;;;;;;
100881;08/01/2019;16:44:00;1;;;;;;
100882;08/01/2019;16:45:00;1;;;;;;
101004;08/01/2019;16:47:00;1;;;;;;
100522;08/01/2019;16:49:00;1;;;;;;
100438;08/01/2019;16:51:00;1;;;;;;
100993;08/01/2019;17:00:00;1;;;;;;
101213;08/01/2019;17:00:00;1;;;;;;
100665;08/01/2019;17:01:00;1;;;;;;
101214;08/01/2019;17:02:00;1;;;;;;
101008;08/01/2019;17:06:00;1;;;;;;
100806;08/01/2019;17:07:00;1;;;;;;
100889;08/01/2019;17:07:00;1;;;;;;
100441;08/01/2019;17:09:00;1;;;;;;
100524;08/01/2019;17:20:00;1;;;;;;
101215;08/01/2019;17:40:00;1;;;;;;
100446;08/01/2019;17:41:00;1;;;;;;
101003;08/01/2019;17:47:00;1;;;;;;
100450;08/01/2019;18:08:00;1;;;;;;
100451;08/01/2019;18:08:00;1;;;;;;
100529;08/01/2019;18:11:00;1;;;;;;
100595;08/01/2019;18:30:00;1;;;;;;
101219;08/01/2019;19:16:00;1;;;;;;
100459;08/01/2019;19:22:00;1;;;;;;
101220;08/01/2019;19:26:00;1;;;;;;
100905;08/01/2019;19:30:00;1;;;;;;
100809;08/01/2019;19:35:00;1;;;;;;
100462;08/01/2019;19:45:00;1;;;;;;
100604;08/01/2019;20:42:00;1;;;;;;
100605;08/01/2019;20:46:00;1;;;;;;
100465;08/01/2019;21:11:00;1;;;;;;
100607;08/01/2019;21:15:00;1;;;;;;
101020;08/01/2019;21:18:00;1;;;;;;
101225;08/01/2019;21:25:00;1;;;;;;
101226;08/01/2019;21:30:00;1;;;;;;
100812;08/01/2019;21:37:00;1;;;;;;
100913;08/01/2019;21:40:00;1;;;;;;
101229;08/01/2019;21:42:00;1;;;;;;
101230;08/01/2019;21:45:00;1;;;;;;
101231;08/01/2019;21:50:00;1;;;;;;
101236;08/01/2019;22:03:00;1;;;;;;
100676;08/01/2019;22:08:00;1;;;;;;
